,name1,name2,atbat86,hits86,homer86,runs86,rbi86,walks86,years,atbat,hits,homeruns,runs,rbi,walks,league86,div86,team86,posit86,outs86,assist86,error86,sal87,league87,team87
1,Al,Newman,185,37,1,23,8,21,2,214,42,1,30,9,24,N,E,Ossp,2B,76,127,7,70,A,Ossp
2,Alan,Ashby,315,81,7,24,38,39,14,3449,835,69,321,414,375,N,W,Ossp,C,632,43,10,475,N,Ossp
3,Alan,Trammell,574,159,21,107,75,59,10,4631,1300,90,702,504,488,A,E,Effe,SS,238,445,22,517.143,A,Effe
4,Alan,Wiggins,239,60,0,30,11,22,6,1941,510,4,309,103,207,A,E,Arda,2B,121,151,6,700,A,Arda
5,Alex,Trevino,202,53,4,31,26,27,9,1876,467,15,192,186,161,N,W,Arda,C,304,45,11,512.5,N,Arda
6,Alfredo,Griffin,594,169,4,74,51,35,11,4408,1133,19,501,336,194,A,W,Arda,SS,282,421,25,750,A,Arda
7,Alvin,Davis,479,130,18,66,72,76,3,1624,457,63,224,266,263,A,W,Effe,1B,880,82,14,480,A,Effe
8,Andre,Dawson,496,141,20,65,78,37,11,5628,1575,225,828,838,354,N,E,Ossp,RF,200,11,3,500,N,Ossp
9,Andre,Thornton,401,92,17,49,66,65,13,5206,1332,253,784,890,866,A,E,Loom,DH,0,0,0,1100,A,Loom
10,Andres,Galarraga,321,87,10,39,42,30,2,396,101,12,48,46,33,N,E,Ossp,1B,805,40,4,91.5,N,Ossp
11,Andres,Thomas,323,81,6,26,32,8,2,341,86,6,32,34,8,N,W,Tumm,SS,143,290,19,75,N,Tumm
12,Andy,Allanson,293,66,1,30,29,14,1,293,66,1,30,29,14,A,E,Loom,C,446,33,20,NA,A,Loom
13,Andy,Van Slyke,418,113,13,48,61,47,4,1512,392,41,205,204,203,N,E,Tumm,RF,211,11,7,550,N,Tumm
14,Argenis,Salazar,298,73,0,24,24,7,3,509,108,0,41,37,12,A,W,Csse,SS,121,283,9,100,A,Csse
15,Barry,Bonds,413,92,16,72,48,65,1,413,92,16,72,48,65,N,E,Immo,CF,280,9,5,100,N,Immo
16,Ben,Oglivie,346,98,5,31,53,30,16,5913,1615,235,784,901,560,A,E,Immo,DH,0,0,0,NA,A,Immo
17,Bill,Almon,196,43,7,29,27,30,13,3231,825,36,376,290,238,N,E,Immo,UT,80,45,8,240,N,Immo
18,Bill,Buckner,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,A,E,Ossp,1B,1067,157,14,776.667,A,Ossp
19,Bill,Doran,550,152,6,92,37,81,5,2308,633,32,349,182,308,N,W,Ossp,2B,262,329,16,625,N,Ossp
20,Bill,Madlock,379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,Arda,3B,72,170,24,850,N,Arda
21,Bill,Russell,216,54,0,21,18,15,18,7318,1926,46,796,627,483,N,W,Arda,UT,103,84,5,NA,N,Arda
22,Bill,Schroeder,217,46,7,32,19,9,4,694,160,32,86,76,32,A,E,Immo,UT,307,25,1,180,A,Immo
23,Billy,Beane,183,39,3,20,15,11,3,201,42,3,20,16,11,A,W,Immo,OF,118,0,0,NA,A,Immo
24,Billy,Hatcher,419,108,6,55,36,22,3,591,149,8,80,46,31,N,W,Ossp,CF,226,7,4,110,N,Ossp
25,Billy Jo,Robidoux,181,41,1,15,21,33,2,232,50,4,20,29,45,A,E,Immo,1B,326,29,5,67.5,A,Immo
26,Billy,Sample,200,57,6,23,14,14,9,2516,684,46,371,230,195,N,W,Tumm,OF,69,1,1,NA,N,Tumm
27,Bip,Roberts,241,61,1,34,12,14,1,241,61,1,34,12,14,N,W,Dimi,2B,166,172,10,NA,N,Dimi
28,Bo,Diaz,474,129,10,50,56,40,10,2331,604,61,246,327,166,N,W,Immo,C,732,83,13,750,N,Immo
29,Bob,Boone,22,10,1,4,2,1,6,84,26,2,9,9,3,A,W,Arda,C,812,84,11,NA,A,Arda
30,Bob,Brenly,472,116,16,60,62,74,6,1924,489,67,242,251,240,N,W,Foog,C,518,55,3,600,N,Foog
31,Bob,Dernier,324,73,4,32,18,22,7,1931,491,13,291,108,180,N,E,Hull,CF,222,3,3,708.333,N,Hull
32,Bob,Horner,517,141,27,70,87,52,9,3571,994,215,545,652,337,N,W,Tumm,1B,1378,102,8,NA,N,Tumm
33,Bob,Kearney,204,49,6,23,25,12,7,1309,308,27,126,132,66,A,W,Effe,C,419,46,5,300,A,Effe
34,Bob,Melvin,268,60,5,24,25,15,2,350,78,5,34,29,18,N,W,Foog,C,442,59,6,90,N,Foog
35,Bobby,Bonilla,426,109,3,55,43,62,1,426,109,3,55,43,62,A,W,Hull,O1,361,22,2,115,N,Hull
36,Bobby,Grich,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,A,W,Arda,2B,127,221,7,NA,A,Arda
37,Bobby,Meacham,161,36,0,19,10,17,4,1053,244,3,156,86,107,A,E,Yodd,SS,70,149,12,NA,A,Yodd
38,Brett,Butler,587,163,4,92,51,70,6,2695,747,17,442,198,317,A,E,Loom,CF,434,9,3,765,A,Loom
39,Brian,Downing,513,137,20,90,95,90,14,5201,1382,166,763,734,784,A,W,Arda,LF,267,5,3,900,A,Arda
40,Brook,Jacoby,583,168,17,83,80,56,5,1646,452,44,219,208,136,A,E,Loom,3B,109,292,25,612.5,A,Loom
41,Bruce,Bochte,407,104,6,57,43,65,12,5233,1478,100,643,658,653,A,W,Arda,1B,912,88,9,NA,A,Arda
42,Bruce,Bochy,127,32,8,16,22,14,8,727,180,24,67,82,56,N,W,Dimi,C,202,22,2,135,N,Dimi
43,Buddy,Bell,568,158,20,89,75,73,15,8068,2273,177,1045,993,732,N,W,Immo,3B,105,290,10,775,N,Immo
44,Buddy,Biancalana,190,46,2,24,8,15,5,479,102,5,65,23,39,A,W,Csse,SS,102,177,16,175,A,Csse
45,Butch,Wynegar,194,40,7,19,29,30,11,4183,1069,64,486,493,608,A,E,Yodd,C,325,22,2,NA,A,Yodd
46,Cal,Ripken,627,177,25,98,81,70,6,3210,927,133,529,472,313,A,E,Arda,SS,240,482,13,1350,A,Arda
47,Candy,Maldonado,405,102,18,49,85,20,6,950,231,29,99,138,64,N,W,Foog,OF,161,10,3,415,N,Foog
48,Carlton,Fisk,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,A,W,Hull,C,389,39,4,875,A,Hull
49,Carmelo,Martinez,244,58,9,28,25,35,4,1335,333,49,164,179,194,N,W,Dimi,O1,142,14,2,340,N,Dimi
50,Carmen,Castillo,205,57,8,34,32,9,5,756,192,32,117,107,51,A,E,Loom,OD,58,4,4,247.5,A,Loom
51,Carney,Lansford,591,168,19,80,72,39,9,4478,1307,113,634,563,319,A,W,Arda,3B,67,147,4,1200,A,Arda
52,Cecil,Cooper,542,140,12,46,75,41,16,7099,2130,235,987,1089,431,A,E,Immo,1B,697,61,9,NA,A,Immo
53,Charlie,Moore,235,61,3,24,39,21,14,3926,1029,35,441,401,333,A,E,Immo,C,425,43,4,NA,A,Immo
54,Chet,Lemon,403,101,12,45,53,39,12,5150,1429,166,747,666,526,A,E,Effe,CF,316,6,5,675,A,Effe
55,Chili,Davis,526,146,13,71,70,84,6,2648,715,77,352,342,289,N,W,Foog,RF,303,9,9,815,N,Foog
56,Chris,Bando,254,68,2,28,26,22,6,999,236,21,108,117,118,A,E,Loom,C,359,30,4,305,A,Loom
57,Chris,Brown,416,132,7,57,49,33,3,932,273,24,113,121,80,N,W,Foog,3B,73,177,18,215,N,Foog
58,Chris,Speier,155,44,6,21,23,15,16,6631,1634,98,698,661,777,N,E,Hull,3S,53,88,3,275,N,Hull
59,Cliff,Johnson,19,7,0,1,2,1,4,41,13,1,3,4,4,A,E,Ossp,DH,0,0,0,NA,A,Ossp
60,Cory,Snyder,416,113,24,58,69,16,1,416,113,24,58,69,16,A,E,Loom,OS,203,70,10,90,A,Loom
61,Craig,Reynolds,313,78,6,32,41,12,12,3742,968,35,409,321,170,N,W,Ossp,SS,106,206,7,416.667,N,Ossp
62,Curt,Ford,214,53,2,30,29,23,2,226,59,2,32,32,27,N,E,Tumm,OF,109,7,3,70,N,Tumm
63,Curt,Wilkerson,236,56,0,27,15,11,4,1115,270,1,116,64,57,A,W,Effe,2S,125,199,13,230,A,Effe
64,Dale,Murphy,614,163,29,89,83,75,11,5017,1388,266,813,822,617,N,W,Tumm,CF,303,6,6,1900,N,Tumm
65,Dale,Sveum,317,78,7,35,35,32,1,317,78,7,35,35,32,A,E,Immo,3B,45,122,26,70,A,Immo
66,Damaso,Garcia,424,119,6,57,46,13,9,3651,1046,32,461,301,112,A,E,Ossp,2B,224,286,8,850,N,Ossp
67,Dan,Gladden,351,97,4,55,29,39,4,1258,353,16,196,110,117,N,W,Foog,CF,226,7,3,210,A,Foog
68,Dan,Pasqua,280,82,16,44,45,47,2,428,113,25,61,70,63,A,E,Yodd,LF,148,4,2,110,A,Yodd
69,Dann,Bilardello,191,37,4,12,17,14,4,773,163,16,61,74,52,N,E,Ossp,C,391,38,8,NA,N,Ossp
70,Danny,Heep,195,55,5,24,33,30,8,1313,338,25,144,149,153,N,E,Yodd,OF,83,2,1,NA,N,Yodd
71,Danny,Tartabull,511,138,25,76,96,61,3,592,164,28,87,110,71,A,W,Effe,RF,157,7,8,145,A,Effe
72,Darnell,Coles,521,142,20,67,86,45,4,815,205,22,99,103,78,A,E,Effe,3B,107,242,23,105,A,Effe
73,Darrell,Evans,507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,A,E,Effe,1B,808,108,2,535,A,Effe
74,Darrell,Porter,155,41,12,21,29,22,16,5409,1338,181,746,805,875,A,W,Effe,CD,165,9,1,260,A,Effe
75,Darren,Daulton,138,31,8,18,21,38,3,244,53,12,33,32,55,N,E,Hull,C,244,21,4,NA,N,Hull
76,Darryl,Motley,227,46,7,23,20,12,5,1325,324,44,156,158,67,A,W,Csse,RF,92,2,2,NA,A,Csse
77,Darryl,Strawberry,475,123,27,76,93,72,4,1810,471,108,292,343,267,N,E,Yodd,RF,226,10,6,1220,N,Yodd
78,Daryl,Boston,199,53,5,29,22,21,3,514,120,8,57,40,39,A,W,Hull,CF,152,3,5,75,A,Hull
79,Dave,Anderson,216,53,1,31,15,22,4,926,210,9,118,69,114,N,W,Arda,3S,73,152,11,225,N,Arda
80,Dave,Collins,419,113,1,44,27,44,12,4484,1231,32,612,344,422,A,E,Effe,LF,211,2,1,NA,A,Effe
81,Dave,Concepcion,311,81,3,42,30,26,17,8247,2198,100,950,909,690,N,W,Immo,UT,153,223,10,320,N,Immo
82,Dave,Henderson,388,103,15,59,47,39,6,2174,555,80,285,274,186,A,W,Effe,OF,182,9,4,325,A,Effe
83,Dave,Kingman,561,118,35,70,94,33,16,6677,1575,442,901,1210,608,A,W,Arda,DH,463,32,8,NA,A,Arda
84,Dave,Parker,637,174,31,89,116,56,14,6727,2024,247,978,1093,495,N,W,Immo,RF,278,9,9,1041.667,N,Immo
85,Dave,Winfield,565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,A,E,Yodd,RF,292,9,5,1861.46,A,Yodd
86,Davey,Lopes,255,70,7,49,35,43,15,6311,1661,154,1019,608,820,N,E,Hull,3O,51,54,8,450,N,Hull
87,Denny,Walling,382,119,13,54,58,36,12,2133,594,41,287,294,227,N,W,Ossp,3B,59,156,9,595,N,Ossp
88,Dick,Schofield,458,114,13,67,57,48,4,1350,298,28,160,123,122,A,W,Arda,SS,246,389,18,475,A,Arda
89,Dickie,Thon,278,69,3,24,21,29,8,2079,565,32,258,192,162,N,W,Ossp,SS,142,210,10,NA,N,Ossp
90,Don,Baylor,585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,A,E,Ossp,DH,0,0,0,950,A,Ossp
91,Don,Mattingly,677,238,31,117,113,53,5,2223,737,93,349,401,171,A,E,Yodd,1B,1377,100,6,1975,A,Yodd
92,Don,Slaught,314,83,13,39,46,16,5,1457,405,28,156,159,76,A,W,Effe,C,533,40,4,431.5,A,Effe
93,Donnie,Hill,339,96,4,37,29,23,4,1064,290,11,123,108,55,A,W,Arda,23,104,213,9,275,A,Arda
94,Doug,Baker,24,3,0,1,0,2,3,159,28,0,20,12,9,A,W,Arda,OF,80,4,0,NA,A,Arda
95,Doug,DeCinces,512,131,26,69,96,52,14,5347,1397,221,712,815,548,A,W,Arda,3B,119,216,12,850,A,Arda
96,Dwayne,Murphy,329,83,9,50,39,56,9,3828,948,145,575,528,635,A,W,Arda,CF,276,6,2,600,A,Arda
97,Dwight,Evans,529,137,26,86,97,97,15,6661,1785,291,1082,949,989,A,E,Ossp,RF,280,10,5,933.333,A,Ossp
98,Ed,Romero,233,49,2,41,23,18,8,1350,336,7,166,122,106,A,E,Ossp,SS,102,132,10,375,A,Ossp
99,Eddie,Milner,424,110,15,70,47,36,7,2130,544,38,335,174,258,N,W,Immo,CF,292,6,3,490,N,Immo
100,Eddie,Murray,495,151,17,61,84,78,10,5624,1679,275,884,1015,709,A,E,Arda,1B,1045,88,13,2460,A,Arda
101,Enos,Cabell,277,71,2,27,29,14,15,5952,1647,60,753,596,259,N,W,Arda,1B,360,32,5,NA,N,Arda
102,Eric,Davis,415,115,27,97,71,68,3,711,184,45,156,119,99,N,W,Immo,LF,274,2,7,300,N,Immo
103,Ernest,Riles,524,132,9,69,47,54,2,972,260,14,123,92,90,A,E,Immo,SS,212,327,20,NA,A,Immo
104,Ernie,Whitt,395,106,16,48,56,35,10,2303,571,86,266,323,248,A,E,Ossp,C,709,41,7,NA,A,Ossp
105,Floyd,Rayford,210,37,8,15,19,15,6,994,244,36,107,114,53,A,E,Arda,3B,40,115,15,NA,A,Arda
106,Frank,White,566,154,22,76,84,43,14,6100,1583,131,743,693,300,A,W,Csse,2B,316,439,10,750,A,Csse
107,Franklin,Stubbs,420,95,23,55,58,37,3,646,139,31,77,77,61,N,W,Arda,LF,206,10,7,NA,N,Arda
108,Fred,Lynn,397,114,23,67,67,53,13,5589,1632,241,906,926,716,A,E,Arda,CF,244,2,4,NA,A,Arda
109,Garry,Templeton,510,126,2,42,44,35,11,5562,1578,44,703,519,256,N,W,Dimi,SS,207,358,20,737.5,N,Dimi
110,Garth,Iorg,327,85,3,30,44,20,8,2140,568,16,216,208,93,A,E,Ossp,32,91,185,12,362.5,A,Ossp
111,Gary,Carter,490,125,24,81,105,62,13,6063,1646,271,847,999,680,N,E,Yodd,C,869,62,8,1925.571,N,Yodd
112,Gary,Gaetti,596,171,34,91,108,52,6,2862,728,107,361,401,224,A,W,Immo,3B,118,334,21,900,A,Immo
113,Gary,Matthews,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,N,E,Hull,LF,137,5,9,733.333,N,Hull
114,Gary,Pettis,539,139,5,93,58,69,5,1469,369,12,247,126,198,A,W,Arda,CF,462,9,7,400,A,Arda
115,Gary,Redus,340,84,11,62,33,47,5,1516,376,42,284,141,219,N,E,Hull,LF,185,8,4,400,A,Hull
116,Gary,Ward,380,120,5,54,51,31,8,3118,900,92,444,419,240,A,W,Effe,LF,237,8,1,600,A,Effe
117,George,Bell,641,198,31,101,108,41,5,2129,610,92,297,319,117,A,E,Ossp,LF,269,17,10,1175,A,Ossp
118,George,Brett,441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,A,W,Csse,3B,97,218,16,1500,A,Csse
119,George,Foster,284,64,14,30,42,24,18,7023,1925,348,986,1239,666,N,E,Yodd,LF,96,4,4,NA,N,Yodd
120,George,Hendrick,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,A,W,Arda,OF,144,6,5,700,A,Arda
121,Glenn,Braggs,215,51,4,19,18,11,1,215,51,4,19,18,11,A,E,Immo,LF,116,5,12,70,A,Immo
122,Glenn,Davis,574,152,31,91,101,64,3,985,260,53,148,173,95,N,W,Ossp,1B,1253,111,11,215,N,Ossp
123,Glenn,Hubbard,408,94,4,42,36,66,9,3573,866,59,429,365,410,N,W,Tumm,2B,282,487,19,535,N,Tumm
124,Glenn,Wilson,584,158,15,70,84,42,5,2358,636,58,265,316,134,N,E,Hull,RF,331,20,4,662.5,N,Hull
125,Gorman,Thomas,315,59,16,45,36,58,13,4677,1051,268,681,782,697,A,W,Effe,DH,0,0,0,NA,A,Effe
126,Graig,Nettles,354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,N,W,Dimi,3B,83,174,16,200,N,Dimi
127,Greg,Brock,325,76,16,33,52,37,5,1506,351,71,195,219,214,N,W,Arda,1B,726,87,3,385,A,Arda
128,Greg,Gagne,472,118,12,63,54,30,4,793,187,14,102,80,50,A,W,Immo,SS,228,377,26,155,A,Immo
129,Greg,Walker,282,78,13,37,51,29,5,1649,453,73,211,280,138,A,W,Hull,1B,670,57,5,500,A,Hull
130,Hal,McRae,278,70,7,22,37,18,18,7186,2081,190,935,1088,643,A,W,Csse,DH,0,0,0,325,A,Csse
131,Harold,Baines,570,169,21,72,88,38,7,3754,1077,140,492,589,263,A,W,Hull,RF,295,15,5,950,A,Hull
132,Harold,Reynolds,445,99,1,46,24,29,4,618,129,1,72,31,48,A,W,Effe,2B,278,415,16,87.5,A,Effe
133,Harry,Spilman,143,39,5,18,30,15,9,639,151,16,80,97,61,N,W,Foog,1B,138,15,1,175,N,Foog
134,Herm,Winningham,185,40,4,23,11,18,3,524,125,7,58,37,47,N,E,Ossp,OF,97,2,2,90,N,Ossp
135,Howard,Johnson,220,54,10,30,39,31,5,1185,299,40,145,154,128,N,E,Yodd,3S,50,136,20,297.5,N,Yodd
136,Hubie,Brooks,306,104,14,50,58,25,7,2954,822,55,313,377,187,N,E,Ossp,SS,116,222,15,750,N,Ossp
137,Jack,Clark,232,55,9,34,23,45,12,4405,1213,194,702,705,625,N,E,Tumm,1B,623,35,3,1300,N,Tumm
138,Jack,Howell,151,41,4,26,21,19,2,288,68,9,45,39,35,A,W,Arda,3B,28,56,2,95,A,Arda
139,Jamie,Quirk,219,47,8,24,26,17,12,1188,286,23,100,125,63,A,W,Csse,CS,260,58,4,NA,A,Csse
140,Jeff,Reed,165,39,2,13,9,16,3,196,44,2,18,10,18,A,W,Immo,C,332,19,2,75,N,Immo
141,Jeff,Stone,249,69,6,32,19,20,4,702,209,10,97,48,44,N,E,Hull,OF,103,8,2,NA,N,Hull
142,Jeffrey,Leonard,341,95,6,48,42,20,10,2964,808,81,379,428,221,N,W,Foog,LF,158,4,5,100,N,Foog
143,Jerry,Hairston,225,61,5,32,26,26,11,1568,408,25,202,185,257,A,W,Hull,UT,132,9,0,NA,A,Hull
144,Jerry,Mumphrey,309,94,5,37,32,26,13,4618,1330,57,616,522,436,N,E,Hull,OF,161,3,3,600,N,Hull
145,Jerry,Royster,257,66,5,31,26,32,14,3910,979,33,518,324,382,N,W,Dimi,UT,87,166,14,250,A,Dimi
146,Jerry,Willard,161,43,4,17,26,22,3,707,179,21,77,99,76,A,W,Arda,C,300,12,2,NA,A,Arda
147,Jesse,Barfield,589,170,40,107,108,69,6,2325,634,128,371,376,238,A,E,Ossp,RF,368,20,3,1237.5,A,Ossp
148,Jim,Dwyer,160,39,8,18,31,22,14,2128,543,56,304,268,298,A,E,Arda,DO,33,3,0,275,A,Arda
149,Jim,Gantner,497,136,7,58,38,26,11,3871,1066,40,450,367,241,A,E,Immo,2B,304,347,10,850,A,Immo
150,Jim,Morrison,537,147,23,58,88,47,10,2744,730,97,302,351,174,N,E,Immo,3B,92,257,20,277.5,N,Immo
151,Jim,Presley,616,163,27,83,107,32,3,1437,377,65,181,227,82,A,W,Effe,3B,110,308,15,200,A,Effe
152,Jim,Rice,618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,A,E,Ossp,LF,330,16,8,2412.5,A,Ossp
153,Jim,Sundberg,429,91,12,41,42,57,13,5590,1397,83,578,579,644,A,W,Csse,C,686,46,4,825,N,Csse
154,Jim,Traber,212,54,13,28,44,18,2,233,59,13,31,46,20,A,E,Arda,UT,243,23,5,NA,A,Arda
155,Jody,Davis,528,132,21,61,74,41,6,2641,671,97,273,383,226,N,E,Hull,C,885,105,8,1008.333,N,Hull
156,Joe,Carter,663,200,29,108,121,32,4,1447,404,57,210,222,68,A,E,Loom,RF,241,8,6,250,A,Loom
157,Joe,Orsulak,401,100,2,60,19,28,4,876,238,2,126,44,55,N,E,Immo,RF,193,11,4,NA,N,Immo
158,Joel,Skinner,315,73,5,23,37,16,4,450,108,6,38,46,28,A,W,Hull,C,227,15,3,110,A,Hull
159,Joel,Youngblood,184,47,5,20,28,18,11,3327,890,74,419,382,304,N,W,Foog,OF,49,2,0,450,N,Foog
160,John,Cangelosi,438,103,2,65,32,71,2,440,103,2,67,32,71,A,W,Hull,LF,276,7,9,100,N,Hull
