,name1,name2,atbat86,hits86,homer86,runs86,rbi86,walks86,years,atbat,hits,homeruns,runs,rbi,walks,league86,div86,team86,posit86,outs86,assist86,error86,sal87,league87,team87
161,John,Kruk,278,86,4,33,38,45,1,278,86,4,33,38,45,N,W,Dimi,LF,102,4,2,110,N,Dimi
162,John,Moses,399,102,3,56,34,34,5,670,167,4,89,48,54,A,W,Effe,CF,211,9,3,80,A,Effe
163,John,Russell,315,76,13,35,60,25,3,630,151,24,68,94,55,N,E,Hull,C,498,39,13,155,N,Hull
164,John,Shelby,404,92,11,54,49,18,6,1354,325,30,188,135,63,A,E,Arda,OF,222,5,5,300,A,Arda
165,Johnny,Grubb,210,70,13,32,51,28,15,4040,1130,97,544,462,551,A,E,Effe,DH,0,0,0,365,A,Effe
166,Johnny,Ray,579,174,7,67,78,58,6,3053,880,32,366,337,218,N,E,Immo,2B,280,479,5,657,N,Immo
167,Jorge,Orta,336,93,9,35,46,23,15,5779,1610,128,730,741,497,A,W,Csse,DH,0,0,0,NA,A,Csse
168,Jose,Canseco,600,144,33,85,117,65,2,696,173,38,101,130,69,A,W,Arda,LF,319,4,14,165,A,Arda
169,Jose,Cruz,479,133,10,48,72,55,17,7472,2147,153,980,1032,854,N,W,Ossp,LF,237,5,4,773.333,N,Ossp
170,Jose,Uribe,453,101,3,46,43,61,3,948,218,6,96,72,91,N,W,Foog,SS,249,444,16,195,N,Foog
171,Juan,Beniquez,343,103,6,48,36,40,15,4338,1193,70,581,421,325,A,E,Arda,UT,211,56,13,430,A,Arda
172,Juan,Bonilla,284,69,1,33,18,25,5,1407,361,6,139,98,111,A,E,Arda,2B,122,140,5,NA,N,Arda
173,Juan,Samuel,591,157,16,90,78,26,4,2020,541,52,310,226,91,N,E,Hull,2B,290,440,25,640,N,Hull
174,Julio,Cruz,209,45,0,38,19,42,10,3859,916,23,557,279,478,A,W,Hull,2B,132,205,5,NA,A,Hull
175,Julio,Franco,599,183,10,80,74,32,5,2482,715,27,330,326,158,A,E,Loom,SS,231,374,18,775,A,Loom
176,Kal,Daniels,181,58,6,34,23,22,1,181,58,6,34,23,22,N,W,Immo,OF,88,0,3,86.5,N,Immo
177,Keith,Hernandez,551,171,13,94,83,94,13,6090,1840,128,969,900,917,N,E,Yodd,1B,1199,149,5,1800,N,Yodd
178,Keith,Moreland,586,159,12,72,79,53,9,3082,880,83,363,477,295,N,E,Hull,RF,181,13,4,1043.333,N,Hull
179,Ken,Griffey,490,150,21,69,58,35,14,6126,1839,121,983,707,600,A,E,Yodd,OF,96,5,3,1000,N,Yodd
180,Ken,Landreaux,283,74,4,34,29,22,10,3919,1062,85,505,456,283,N,W,Arda,OF,145,5,7,737.5,N,Arda
181,Ken,Oberkfell,503,136,5,62,48,83,10,3423,970,20,408,303,414,N,W,Tumm,3B,65,258,8,725,N,Tumm
182,Ken,Phelps,344,85,24,69,64,88,7,911,214,64,150,156,187,A,W,Effe,DH,0,0,0,300,A,Effe
183,Kent,Hrbek,550,147,29,85,91,71,6,2816,815,117,405,474,319,A,W,Immo,1B,1218,104,10,1310,A,Immo
184,Kevin,Bass,591,184,20,83,79,38,5,1689,462,40,219,195,82,N,W,Ossp,RF,303,12,5,630,N,Ossp
185,Kevin,McReynolds,560,161,26,89,96,66,4,1789,470,65,233,260,155,N,W,Dimi,CF,332,9,8,625,N,Dimi
186,Kevin,Mitchell,328,91,12,51,43,33,2,342,94,12,51,44,33,N,E,Yodd,OS,145,59,8,125,N,Yodd
187,Kirby,Puckett,680,223,31,119,96,34,3,1928,587,35,262,201,91,A,W,Immo,CF,429,8,6,365,A,Immo
188,Kirk,Gibson,441,118,28,84,86,68,8,2723,750,126,433,420,309,A,E,Effe,RF,190,2,2,1300,A,Effe
189,Kurt,Stillwell,279,64,0,31,26,30,1,279,64,0,31,26,30,N,W,Immo,SS,107,205,16,75,N,Immo
190,Lance,Parrish,327,84,22,53,62,38,10,4273,1123,212,577,700,334,A,E,Effe,C,483,48,6,800,N,Effe
191,Larry,Herndon,283,70,8,33,37,27,12,4479,1222,94,557,483,307,A,E,Effe,OF,156,2,2,225,A,Effe
192,Larry,Parrish,464,128,28,67,94,52,13,5829,1552,210,740,840,452,A,W,Effe,DH,0,0,0,587.5,A,Effe
193,Larry,Sheets,338,92,18,42,60,21,3,682,185,36,88,112,50,A,E,Arda,DH,0,0,0,145,A,Arda
194,Lee,Lacy,491,141,11,77,47,37,15,4291,1240,84,615,430,340,A,E,Arda,RF,239,8,2,525,A,Arda
195,Len,Dykstra,431,127,8,77,45,58,2,667,187,9,117,64,88,N,E,Yodd,CF,283,8,3,202.5,N,Yodd
196,Len,Matuszek,199,52,9,26,28,21,6,805,191,30,113,119,87,N,W,Arda,O1,235,22,5,265,N,Arda
197,Leon,Durham,484,127,20,66,65,67,7,3006,844,116,436,458,377,N,E,Hull,1B,1231,80,7,1183.333,N,Hull
198,Lloyd,Moseby,589,149,21,89,86,64,7,3558,928,102,513,471,351,A,E,Ossp,CF,371,6,6,787.5,A,Ossp
199,Lonnie,Smith,508,146,8,80,44,46,9,3148,915,41,571,289,326,A,W,Csse,LF,245,5,9,NA,A,Csse
200,Lou,Whitaker,584,157,20,95,73,63,10,4704,1320,93,724,522,576,A,E,Effe,2B,276,421,11,420,A,Effe
201,Luis,Rivera,166,34,0,20,13,17,1,166,34,0,20,13,17,N,E,Ossp,SS,64,119,9,NA,N,Ossp
202,Mariano,Duncan,407,93,8,47,30,30,2,969,230,14,121,69,68,N,W,Arda,SS,172,317,25,150,N,Arda
203,Mark,Salas,258,60,8,28,33,18,3,638,170,17,80,75,36,A,W,Immo,C,358,32,8,137,A,Immo
204,Marty,Barrett,625,179,4,94,60,65,5,1696,476,12,216,163,166,A,E,Ossp,2B,303,450,14,575,A,Ossp
205,Marvell,Wynne,288,76,7,34,37,15,4,1644,408,16,198,120,113,N,W,Dimi,OF,203,3,3,240,N,Dimi
206,Mel,Hall,442,131,18,68,77,33,6,1416,398,47,210,203,136,A,E,Loom,LF,233,7,7,550,A,Loom
207,Mickey,Hatcher,317,88,3,40,32,19,8,2543,715,28,269,270,118,A,W,Immo,UT,220,16,4,NA,A,Immo
208,Mickey,Tettleton,211,43,10,26,35,39,3,498,116,14,59,55,78,A,W,Arda,C,463,32,8,120,A,Arda
209,Mike,Aldrete,216,54,2,27,25,33,1,216,54,2,27,25,33,N,W,Foog,1O,317,36,1,75,N,Foog
210,Mike,Brown,243,53,4,18,26,27,4,853,228,23,101,110,76,N,E,Immo,OF,107,3,3,NA,N,Immo
211,Mike,Davis,489,131,19,77,55,34,7,2051,549,62,300,263,153,A,W,Arda,RF,310,9,9,780,A,Arda
212,Mike,Diaz,209,56,12,22,36,19,2,216,58,12,24,37,19,N,E,Immo,O1,201,6,3,90,N,Immo
213,Mike,Easler,490,148,14,64,78,49,13,3400,1000,113,445,491,301,A,E,Yodd,DH,0,0,0,700,N,Yodd
214,Mike,Fitzgerald,209,59,6,20,37,27,4,884,209,14,66,106,92,N,E,Ossp,C,415,35,3,NA,N,Ossp
215,Mike,Heath,288,65,8,30,36,27,9,2815,698,55,315,325,189,N,E,Tumm,C,259,30,10,650,A,Tumm
216,Mike,Kingery,209,54,3,25,14,12,1,209,54,3,25,14,12,A,W,Csse,OF,102,6,3,68,A,Csse
217,Mike,LaValliere,303,71,3,18,30,36,3,344,76,3,20,36,45,N,E,Tumm,C,468,47,6,100,N,Tumm
218,Mike,Marshall,330,77,19,47,53,27,6,1928,516,90,247,288,161,N,W,Arda,RF,149,8,6,670,N,Arda
219,Mike,Pagliarulo,504,120,28,71,71,54,3,1085,259,54,150,167,114,A,E,Yodd,3B,103,283,19,175,A,Yodd
220,Mike,Schmidt,20,1,0,0,0,0,2,41,9,2,6,7,4,N,E,Hull,3B,78,220,6,2127.333,N,Hull
221,Mike,Scioscia,374,94,5,36,26,62,7,1968,519,26,181,199,288,N,W,Arda,C,756,64,15,875,N,Arda
222,Mike,Young,369,93,9,43,42,49,5,1258,323,54,181,177,157,A,E,Arda,LF,149,1,6,350,A,Arda
223,Milt,Thompson,299,75,6,38,23,26,3,580,160,8,71,33,44,N,E,Hull,CF,212,1,2,140,N,Hull
224,Mitch,Webster,576,167,8,89,49,57,4,822,232,19,132,83,79,N,E,Ossp,CF,325,12,8,210,N,Ossp
225,Mookie,Wilson,381,110,9,61,45,32,7,3015,834,40,451,249,168,N,E,Yodd,OF,228,7,5,800,N,Yodd
226,Nick,Esasky,330,76,12,35,41,47,4,1367,326,55,167,198,167,N,W,Immo,1B,512,30,5,NA,N,Immo
227,Oddibe,McDowell,572,152,18,105,49,65,2,978,249,36,168,91,101,A,W,Effe,CF,325,13,3,200,A,Effe
228,Omar,Moreno,359,84,4,46,27,21,12,4992,1257,37,699,386,387,N,W,Tumm,RF,151,8,5,NA,N,Tumm
229,Ozzie,Guillen,547,137,2,58,47,12,2,1038,271,3,129,80,24,A,W,Hull,SS,261,459,22,175,A,Hull
230,Ozzie,Smith,514,144,0,67,54,79,9,4739,1169,13,583,374,528,N,E,Tumm,SS,229,453,15,1940,N,Tumm
231,Ozzie,Virgil,359,80,15,45,48,63,7,1493,359,61,176,202,175,N,W,Tumm,C,682,93,13,700,N,Tumm
232,Pat,Sheridan,236,56,6,41,19,21,5,1257,329,24,166,125,105,A,E,Effe,OF,172,1,4,190,A,Effe
233,Pat,Tabler,473,154,6,61,48,29,6,1966,566,29,250,252,178,A,E,Loom,1B,846,84,9,580,A,Loom
234,Paul,Molitor,437,123,9,62,55,40,9,4139,1203,79,676,390,364,A,E,Immo,3B,82,170,15,1260,A,Immo
235,Pete,Incaviglia,540,135,30,82,88,55,1,540,135,30,82,88,55,A,W,Effe,RF,157,6,14,172,A,Effe
236,Pete,O'Brien,551,160,23,86,90,87,5,2235,602,75,278,328,273,A,W,Effe,1B,1224,115,11,NA,A,Effe
237,Pete,Rose,237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,N,W,Immo,1B,523,43,6,750,N,Immo
238,Phil,Bradley,526,163,12,88,50,77,4,1556,470,38,245,167,174,A,W,Effe,LF,250,11,1,750,A,Effe
239,Phil,Garner,313,83,9,43,41,30,14,5885,1543,104,751,714,535,N,W,Ossp,3B,58,141,23,450,N,Ossp
240,Rafael,Belliard,309,72,0,33,31,26,5,354,82,0,41,32,26,N,E,Immo,SS,117,269,12,130,N,Immo
241,Rafael,Ramirez,496,119,8,57,33,21,7,3358,882,36,365,280,165,N,W,Tumm,S3,155,371,29,875,N,Tumm
242,Rafael,Santana,394,86,1,38,28,36,4,1089,267,3,94,71,76,N,E,Yodd,SS,203,369,16,250,N,Yodd
243,Rance,Mulliniks,348,90,11,50,45,43,10,2288,614,43,295,273,269,A,E,Ossp,3B,60,176,6,450,A,Ossp
244,Randy,Bush,357,96,7,50,45,39,5,1394,344,43,178,192,136,A,W,Immo,LF,167,2,4,300,A,Immo
245,Randy,Kutcher,186,44,7,28,16,11,1,186,44,7,28,16,11,N,W,Foog,OF,99,3,1,NA,N,Foog
246,Ray,Knight,486,145,11,51,76,40,11,3967,1102,67,410,497,284,N,E,Yodd,3B,88,204,16,500,A,Yodd
247,Reggie,Jackson,419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,A,W,Arda,DH,0,0,0,487.5,A,Arda
248,Reggie,Williams,303,84,4,35,32,23,2,312,87,4,39,32,23,N,W,Arda,CF,179,5,3,NA,N,Arda
249,Rey,Quinones,312,68,2,32,22,24,1,312,68,2,32,22,24,A,E,Ossp,SS,86,150,15,70,A,Ossp
250,Rich,Gedman,462,119,16,49,65,37,7,2131,583,69,244,288,150,A,E,Ossp,C,866,65,6,NA,A,Ossp
251,Rick,Burleson,271,77,5,35,29,33,12,4933,1358,48,630,435,403,A,W,Arda,UT,62,90,3,450,A,Arda
252,Rick,Cerone,216,56,4,22,18,15,12,2796,665,43,266,304,198,A,E,Immo,C,391,44,4,250,A,Immo
253,Rick,Dempsey,327,68,13,42,29,45,18,3949,939,78,438,380,466,A,E,Arda,C,659,53,7,400,A,Arda
254,Rick,Leach,246,76,5,35,39,13,6,912,234,12,102,96,80,A,E,Ossp,DO,44,0,1,250,A,Ossp
255,Rick,Manning,205,52,8,31,27,17,12,5134,1323,56,643,445,459,A,E,Immo,OF,155,3,2,400,A,Immo
256,Rick,Schu,208,57,8,32,25,18,3,653,170,17,98,54,62,N,E,Hull,3B,42,94,13,140,N,Hull
257,Rickey,Henderson,608,160,28,130,74,89,8,4071,1182,103,862,417,708,A,E,Yodd,CF,426,4,6,1670,A,Yodd
258,Ricky,Jones,33,6,0,2,4,7,1,33,6,0,2,4,7,A,W,Arda,RF,205,5,4,NA,A,Arda
259,Rob,Deer,466,108,33,75,86,72,3,652,142,44,102,109,102,A,E,Immo,RF,286,8,8,215,A,Immo
260,Rob,Wilfong,288,63,3,25,33,16,10,2682,667,38,315,259,204,A,W,Arda,2B,135,257,7,341.667,A,Arda
261,Robby,Thompson,549,149,7,73,47,42,1,549,149,7,73,47,42,N,W,Foog,2B,255,450,17,140,N,Foog
262,Robin,Yount,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,A,E,Immo,CF,352,9,1,1000,A,Immo
263,Ron,Cey,256,70,13,42,36,44,16,7058,1845,312,965,1128,990,N,E,Hull,3B,41,118,8,1050,A,Hull
264,Ron,Hassey,341,110,9,45,49,46,9,2331,658,50,249,322,274,A,E,Yodd,C,251,9,4,560,A,Yodd
265,Ron,Kittle,376,82,21,42,60,35,5,1770,408,115,238,299,157,A,W,Hull,DH,0,0,0,425,A,Hull
266,Ron,Oester,523,135,8,52,44,52,9,3368,895,39,377,284,296,N,W,Immo,2B,367,475,19,750,N,Immo
267,Ron,Roenicke,275,68,5,42,42,61,6,961,238,16,128,104,172,N,E,Hull,OF,181,3,2,191,N,Hull
268,Ronn,Reynolds,126,27,3,8,10,5,4,239,49,3,16,13,14,N,E,Immo,LF,190,2,9,190,N,Immo
269,Roy,Smalley,459,113,20,59,57,68,12,5348,1369,155,713,660,735,A,W,Immo,DH,0,0,0,740,A,Immo
270,Ruben,Sierra,382,101,16,50,55,22,1,382,101,16,50,55,22,A,W,Effe,OF,200,7,6,97.5,A,Effe
271,Rudy,Law,307,80,1,42,36,29,7,2421,656,18,379,198,184,A,W,Csse,OF,145,2,2,NA,A,Csse
272,Ryne,Sandberg,627,178,14,68,76,46,6,3146,902,74,494,345,242,N,E,Hull,2B,309,492,5,740,N,Hull
273,Scott,Bradley,220,66,5,20,28,13,3,290,80,5,27,31,15,A,W,Effe,C,281,21,3,90,A,Effe
274,Scott,Fletcher,530,159,3,82,50,47,6,1619,426,11,218,149,163,A,W,Effe,SS,196,354,15,475,A,Effe
275,Shawon,Dunston,581,145,17,66,68,21,2,831,210,21,106,86,40,N,E,Hull,SS,320,465,32,155,N,Hull
276,Sid,Bream,522,140,16,73,77,60,4,730,185,22,93,106,86,N,E,Immo,1B,1320,166,17,200,N,Immo
277,Spike,Owen,528,122,1,67,45,51,4,1716,403,12,211,146,155,A,W,Effe,SS,209,372,17,350,A,Effe
278,Steve,Balboni,512,117,29,54,88,43,6,1750,412,100,204,276,155,A,W,Csse,1B,1236,98,18,100,A,Csse
279,Steve,Buechele,461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,Effe,3B,111,226,11,135,A,Effe
280,Steve,Garvey,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,N,W,Dimi,1B,1160,53,7,1450,N,Dimi
281,Steve,Jeltz,439,96,0,44,36,65,4,711,148,1,68,56,99,N,E,Hull,SS,229,406,22,150,N,Hull
282,Steve,Lombardozzi,453,103,8,53,33,52,2,507,123,8,63,39,58,A,W,Immo,2B,289,407,6,105,A,Immo
283,Steve,Sax,633,210,6,91,56,59,6,3070,872,19,420,230,274,N,W,Arda,2B,367,432,16,90,N,Arda
284,Ted,Simmons,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,N,W,Tumm,UT,167,18,6,500,N,Tumm
285,Terry,Harper,265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,Tumm,OF,92,5,3,425,A,Tumm
286,Terry,Kennedy,19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,Dimi,C,692,70,8,920,A,Dimi
287,Terry,Pendleton,578,138,1,56,59,34,3,1399,357,7,149,161,87,N,E,Tumm,3B,133,371,20,160,N,Tumm
288,Terry,Puhl,172,42,3,17,14,15,10,4086,1150,57,579,363,406,N,W,Ossp,OF,65,0,0,900,N,Ossp
289,Tim,Flannery,368,103,3,48,28,54,8,1897,493,9,207,162,198,N,W,Dimi,2B,209,246,3,326.667,N,Dimi
290,Tim,Hulett,520,120,17,53,44,21,4,927,227,22,106,80,52,A,W,Hull,3B,70,144,11,185,A,Hull
291,Tim,Laudner,193,47,10,21,29,24,6,1136,256,42,129,139,106,A,W,Immo,C,299,13,5,245,A,Immo
292,Tim,Raines,580,194,9,91,62,78,8,3372,1028,48,604,314,469,N,E,Ossp,LF,270,13,6,NA,N,Ossp
293,Tim,Teufel,279,69,4,35,31,32,4,1359,355,31,180,148,158,N,E,Yodd,2B,133,173,9,277.5,N,Yodd
294,Tim,Wallach,480,112,18,50,71,44,7,3031,771,110,338,406,239,N,E,Ossp,3B,94,270,16,750,N,Ossp
295,Tito,Landrum,205,43,2,24,17,20,7,854,219,12,105,99,71,N,E,Tumm,OF,131,6,1,286.667,N,Tumm
296,Toby,Harrah,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,A,W,Effe,2B,166,211,7,NA,A,Effe
297,Tom,Brookens,281,76,3,42,25,20,8,2658,657,48,324,300,179,A,E,Effe,UT,106,144,7,341.667,A,Effe
298,Tom,Brunansky,593,152,23,69,75,53,6,2765,686,133,369,384,321,A,W,Immo,RF,315,10,6,940,A,Immo
299,Tom,Foley,263,70,1,26,23,30,4,888,220,9,83,82,86,N,E,Ossp,UT,81,147,4,250,N,Ossp
300,Tom,O'Malley,181,46,1,19,18,17,5,937,238,9,88,95,104,A,E,Arda,3B,37,98,9,NA,A,Arda
301,Tom,Paciorek,213,61,4,17,22,3,17,4061,1145,83,488,491,244,A,W,Effe,UT,178,45,4,235,A,Effe
302,Tommy,Herr,559,141,2,48,61,73,8,3162,874,16,421,349,359,N,E,Tumm,2B,352,414,9,925,N,Tumm
303,Tony,Armas,16,2,0,1,0,0,2,28,4,0,1,0,0,A,E,Ossp,CF,247,4,8,NA,A,Ossp
304,Tony,Bernazard,562,169,17,88,73,53,8,3181,841,61,450,342,373,A,E,Loom,2B,351,442,17,530,A,Loom
305,Tony,Fernandez,687,213,10,91,65,27,4,1518,448,15,196,137,89,A,E,Ossp,SS,294,445,13,350,A,Ossp
306,Tony,Gwynn,642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,Dimi,RF,337,19,4,740,N,Dimi
307,Tony,Pena,510,147,10,56,52,53,7,2872,821,63,307,340,174,N,E,Immo,C,810,99,18,1150,N,Immo
308,Tony,Perez,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,N,W,Immo,1B,398,29,7,NA,N,Immo
309,Tony,Phillips,441,113,5,76,52,76,5,1546,397,17,226,149,191,A,W,Arda,2B,160,290,11,425,A,Arda
310,Vance,Law,360,81,5,37,44,37,7,2268,566,41,279,257,246,N,E,Ossp,2B,170,284,3,525,N,Ossp
311,Vince,Coleman,600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,Tumm,LF,300,12,9,160,N,Tumm
312,Von,Hayes,610,186,19,107,98,74,6,2728,753,69,399,366,286,N,E,Hull,1B,1182,96,13,1300,N,Hull
313,Wade,Boggs,580,207,8,107,71,105,5,2778,978,32,474,322,417,A,E,Ossp,3B,121,267,19,1600,A,Ossp
314,Wally,Backman,387,124,1,67,27,36,7,1775,506,6,272,125,194,N,E,Yodd,2B,186,290,17,550,N,Yodd
315,Wally,Joyner,593,172,22,82,100,57,1,593,172,22,82,100,57,A,W,Arda,1B,1222,139,15,165,A,Arda
316,Wayne,Krenchicki,221,53,2,21,23,22,8,1063,283,15,107,124,106,N,E,Ossp,13,325,58,6,NA,N,Ossp
317,Wayne,Tolleson,475,126,3,61,43,52,6,1700,433,7,217,93,146,A,W,Hull,3B,37,113,7,385,A,Hull
318,Will,Clark,408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,Foog,1B,942,72,11,120,N,Foog
319,Willie,McGee,497,127,7,65,48,37,5,2703,806,32,379,311,138,N,E,Tumm,CF,325,9,3,700,N,Tumm
320,Willie,Randolph,492,136,5,76,50,94,12,5511,1511,39,897,451,875,A,E,Yodd,2B,313,381,20,875,A,Yodd
321,Willie,Upshaw,573,144,9,85,60,78,8,3198,857,97,470,420,332,A,E,Ossp,1B,1314,131,12,960,A,Ossp
322,Willie,Wilson,631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,Csse,CF,408,4,3,1000,A,Csse
